HDB_block,Nearest_MRT_station,Nearest_MRT_code,HDB_subtown,partOf,HDB_town
Blk610_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk612_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk613_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk614_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk614A_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk615_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk616_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk617_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk618_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk750_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk755_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk756_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk757_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk757A_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk844_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk846_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk846A_WOODLANDS_AVE_4,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk626_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk627_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk677_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk678_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk678A_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk679_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk680_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk693_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk693A_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk693B_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk693C_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk693D_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk693E_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk718_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk718A_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk719_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk720_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk721A_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk722_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk722A_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk723_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk724_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk725_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk758_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk759_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
Blk759A_WOODLANDS_AVE_6,Admiralty,NS10,HDB_Woodlands_East,partOf,HDB_Woodlands
