Source,Relation,Target
CC10_DT26,locatedNear,HDB_Geylang
CC11,locatedNear,HDB_Toa_Payoh
CC13_NE12,locatedNear,HDB_Serangoon
CC15_NS17,locatedNear,HDB_Bishan
CC16,locatedNear,HDB_Bishan
CC2,locatedNear,HDB_Central_Area
CC20,locatedNear,HDB_Bukit_Timah
CC22_EW21,locatedNear,HDB_Queenstown
CC28,locatedNear,HDB_Bukit_Merah
CC29_NE1,locatedNear,HDB_Bukit_Merah
CC6,locatedNear,HDB_Kallang_Whampoa
CC7,locatedNear,HDB_Kallang_Whampoa
CC8,locatedNear,HDB_Geylang
CC9_EW8,locatedNear,HDB_Geylang
DT1,locatedNear,HDB_Bukit_Panjang
DT12_NE7,locatedNear,HDB_Central_Area
DT13,locatedNear,HDB_Central_Area
DT14_EW12,locatedNear,HDB_Central_Area
DT18,locatedNear,HDB_Central_Area
DT19_NE4,locatedNear,HDB_Central_Area
DT22,locatedNear,HDB_Central_Area
DT23,locatedNear,HDB_Kallang_Whampoa
DT24,locatedNear,HDB_Kallang_Whampoa
DT25,locatedNear,HDB_Geylang
DT27,locatedNear,HDB_Geylang
DT28,locatedNear,HDB_Bedok
DT29,locatedNear,HDB_Bedok
DT30,locatedNear,HDB_Bedok
DT31,locatedNear,HDB_Tampines
DT32_EW2,locatedNear,HDB_Tampines
DT33,locatedNear,HDB_Tampines
DT34,locatedNear,HDB_Tampines
DT5,locatedNear,HDB_Bukit_Timah
EW1,locatedNear,HDB_Pasir_Ris
EW10,locatedNear,HDB_Kallang_Whampoa
EW11,locatedNear,HDB_Kallang_Whampoa
EW15,locatedNear,HDB_Central_Area
EW16_NE3,locatedNear,HDB_Bukit_Merah
EW17,locatedNear,HDB_Bukit_Merah
EW18,locatedNear,HDB_Bukit_Merah
EW19,locatedNear,HDB_Queenstown
EW20,locatedNear,HDB_Queenstown
EW22,locatedNear,HDB_Queenstown
EW23,locatedNear,HDB_Clementi
EW24_NS1,locatedNear,HDB_Jurong_East
EW25,locatedNear,HDB_Jurong_East
EW26,locatedNear,HDB_Jurong_West
EW27,locatedNear,HDB_Jurong_West
EW28,locatedNear,HDB_Jurong_West
EW29,locatedNear,HDB_Jurong_West
EW3,locatedNear,HDB_Tampines
EW30,locatedNear,HDB_Tengah
EW4,locatedNear,HDB_Bedok
EW5,locatedNear,HDB_Bedok
EW6,locatedNear,HDB_Bedok
EW7,locatedNear,HDB_Geylang
EW9,locatedNear,HDB_Geylang
NE10,locatedNear,HDB_Toa_Payoh
NE11,locatedNear,HDB_Toa_Payoh
NE13,locatedNear,HDB_Hougang
NE14,locatedNear,HDB_Hougang
NE15,locatedNear,HDB_Sengkang
NE16,locatedNear,HDB_Sengkang
NE17,locatedNear,HDB_Punggol
NE8,locatedNear,HDB_Kallang_Whampoa
NE9,locatedNear,HDB_Kallang_Whampoa
NS10,locatedNear,HDB_Woodlands
NS11,locatedNear,HDB_Sembawang
NS13,locatedNear,HDB_Yishun
NS14,locatedNear,HDB_Yishun
NS15,locatedNear,HDB_Ang_Mo_Kio
NS16,locatedNear,HDB_Ang_Mo_Kio
NS18,locatedNear,HDB_Toa_Payoh
NS19,locatedNear,HDB_Toa_Payoh
NS2,locatedNear,HDB_Bukit_Batok
NS3,locatedNear,HDB_Bukit_Batok
NS4,locatedNear,HDB_Choa_Chu_Kang
NS5,locatedNear,HDB_Choa_Chu_Kang
NS8,locatedNear,HDB_Woodlands
NS9,locatedNear,HDB_Woodlands
TE24,locatedNear,HDB_Kallang_Whampoa
