Source,Relation,Target,type,Label,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,total_dwelling_units,1room_rental,2room_rental,3room_rental,other_room_rental
Blk1_BEACH_RD,locatedIn,HDB_Kallang_Whampoa,HDB_block,Blk1 BEACH RD,1,BEACH RD,16,1970,TRUE,TRUE,FALSE,FALSE,142,0,0,0,0
Blk1_BEDOK_STH_AVE_1,locatedIn,HDB_Bedok,HDB_block,Blk1 BEDOK STH AVE 1,1,BEDOK STH AVE 1,14,1975,TRUE,FALSE,FALSE,FALSE,206,0,0,0,0
Blk1_CANTONMENT_RD,locatedIn,HDB_Central_Area,HDB_block,Blk1 CANTONMENT RD,1,CANTONMENT RD,2,2010,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0
Blk1_CHAI_CHEE_RD,locatedIn,HDB_Bedok,HDB_block,Blk1 CHAI CHEE RD,1,CHAI CHEE RD,15,1982,TRUE,FALSE,FALSE,FALSE,102,0,0,0,0
Blk1_CHANGI_VILLAGE_RD,locatedIn,HDB_Pasir_Ris,HDB_block,Blk1 CHANGI VILLAGE RD,1,CHANGI VILLAGE RD,4,1975,TRUE,TRUE,FALSE,FALSE,55,0,0,0,0
Blk1_DELTA_AVE,locatedIn,HDB_Bukit_Merah,HDB_block,Blk1 DELTA AVE,1,DELTA AVE,25,1982,TRUE,FALSE,FALSE,FALSE,96,0,0,0,0
Blk1_DOVER_RD,locatedIn,HDB_Queenstown,HDB_block,Blk1 DOVER RD,1,DOVER RD,12,1975,TRUE,FALSE,FALSE,FALSE,125,0,0,0,0
Blk1_EUNOS_CRES,locatedIn,HDB_Geylang,HDB_block,Blk1 EUNOS CRES,1,EUNOS CRES,14,1977,TRUE,FALSE,FALSE,FALSE,247,0,247,0,0
Blk1_EVERTON_PK,locatedIn,HDB_Bukit_Merah,HDB_block,Blk1 EVERTON PK,1,EVERTON PK,12,1980,TRUE,TRUE,FALSE,FALSE,95,0,0,0,0
Blk1_GEYLANG_SERAI,locatedIn,HDB_Geylang,HDB_block,Blk1 GEYLANG SERAI,1,GEYLANG SERAI,2,2009,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0
Blk1_GHIM_MOH_RD,locatedIn,HDB_Queenstown,HDB_block,Blk1 GHIM MOH RD,1,GHIM MOH RD,15,1975,TRUE,FALSE,FALSE,FALSE,220,0,0,0,0
Blk1_HAIG_RD,locatedIn,HDB_Geylang,HDB_block,Blk1 HAIG RD,1,HAIG RD,15,1976,TRUE,FALSE,FALSE,FALSE,219,0,0,0,0
Blk1_HOLLAND_CL,locatedIn,HDB_Queenstown,HDB_block,Blk1 HOLLAND CL,1,HOLLAND CL,13,1973,TRUE,FALSE,FALSE,FALSE,319,319,0,0,0
Blk1_HOUGANG_AVE_3,locatedIn,HDB_Hougang,HDB_block,Blk1 HOUGANG AVE 3,1,HOUGANG AVE 3,14,1974,TRUE,FALSE,FALSE,FALSE,204,0,0,0,0
Blk1_JLN_BT_MERAH,locatedIn,HDB_Bukit_Merah,HDB_block,Blk1 JLN BT MERAH,1,JLN BT MERAH,14,1974,TRUE,TRUE,FALSE,FALSE,244,0,0,0,0
Blk1_JLN_KUKOH,locatedIn,HDB_Central_Area,HDB_block,Blk1 JLN KUKOH,1,JLN KUKOH,17,1969,TRUE,FALSE,TRUE,FALSE,84,0,56,14,14
Blk1_JOO_CHIAT_RD,locatedIn,HDB_Geylang,HDB_block,Blk1 JOO CHIAT RD,1,JOO CHIAT RD,5,1984,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0
Blk1_KG_KAYU_RD,locatedIn,HDB_Kallang_Whampoa,HDB_block,Blk1 KG KAYU RD,1,KG KAYU RD,10,1963,TRUE,FALSE,FALSE,FALSE,107,0,0,0,0
Blk1_LOR_LEW_LIAN,locatedIn,HDB_Serangoon,HDB_block,Blk1 LOR LEW LIAN,1,LOR LEW LIAN,14,1977,TRUE,FALSE,FALSE,FALSE,179,0,0,0,0
Blk1_LOR_7_TOA_PAYOH,locatedIn,HDB_Toa_Payoh,HDB_block,Blk1 LOR 7 TOA PAYOH,1,LOR 7 TOA PAYOH,11,1968,TRUE,FALSE,FALSE,FALSE,197,0,0,0,0
Blk1_MARINE_TER,locatedIn,HDB_Marine_Parade,HDB_block,Blk1 MARINE TER,1,MARINE TER,25,1974,TRUE,TRUE,FALSE,FALSE,96,0,0,0,0
Blk1_MARSILING_DR,locatedIn,HDB_Woodlands,HDB_block,Blk1 MARSILING DR,1,MARSILING DR,11,1973,TRUE,FALSE,FALSE,FALSE,159,0,0,0,0
Blk1_MAUDE_RD,locatedIn,HDB_Kallang_Whampoa,HDB_block,Blk1 MAUDE RD,1,MAUDE RD,14,1970,TRUE,TRUE,FALSE,FALSE,176,0,176,0,0
Blk1_PINE_CL,locatedIn,HDB_Geylang,HDB_block,Blk1 PINE CL,1,PINE CL,19,1998,TRUE,FALSE,FALSE,FALSE,156,0,0,0,0
Blk1_QUEEN'S_RD,locatedIn,HDB_Bukit_Timah,HDB_block,Blk1 QUEEN'S RD,1,QUEEN'S RD,23,1974,TRUE,FALSE,FALSE,FALSE,88,0,0,0,0
Blk1_REDHILL_CL,locatedIn,HDB_Bukit_Merah,HDB_block,Blk1 REDHILL CL,1,REDHILL CL,7,1955,TRUE,FALSE,FALSE,FALSE,41,0,0,0,0
Blk1_ST._GEORGE'S_RD,locatedIn,HDB_Kallang_Whampoa,HDB_block,Blk1 ST. GEORGE'S RD,1,ST. GEORGE'S RD,12,1975,TRUE,FALSE,FALSE,FALSE,154,0,0,0,0
Blk1_TAMPINES_WALK,locatedIn,HDB_Tampines,HDB_block,Blk1 TAMPINES WALK,1,TAMPINES WALK,7,2016,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
Blk1_TECK_WHYE_AVE,locatedIn,HDB_Choa_Chu_Kang,HDB_block,Blk1 TECK WHYE AVE,1,TECK WHYE AVE,13,1983,TRUE,FALSE,FALSE,FALSE,118,0,0,0,0
Blk1_TELOK_BLANGAH_CRES,locatedIn,HDB_Bukit_Merah,HDB_block,Blk1 TELOK BLANGAH CRES,1,TELOK BLANGAH CRES,16,1973,TRUE,TRUE,FALSE,FALSE,148,0,0,0,0
Blk1_TG_PAGAR_PLAZA,locatedIn,HDB_Central_Area,HDB_block,Blk1 TG PAGAR PLAZA,1,TG PAGAR PLAZA,24,1976,TRUE,TRUE,FALSE,FALSE,163,0,0,0,0
Blk1_THOMSON_RD,locatedIn,HDB_Kallang_Whampoa,HDB_block,Blk1 THOMSON RD,1,THOMSON RD,4,1977,TRUE,TRUE,FALSE,FALSE,8,0,0,8,0
Blk1_TOH_YI_DR,locatedIn,HDB_Bukit_Timah,HDB_block,Blk1 TOH YI DR,1,TOH YI DR,13,1987,TRUE,FALSE,FALSE,FALSE,132,0,0,0,0
Blk1_UPP_ALJUNIED_LANE,locatedIn,HDB_Toa_Payoh,HDB_block,Blk1 UPP ALJUNIED LANE,1,UPP ALJUNIED LANE,1,2003,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0
Blk1_WOODLANDS_IND_PK_E3,locatedIn,HDB_Woodlands,HDB_block,Blk1 WOODLANDS IND PK E3,1,WOODLANDS IND PK E3,2,1994,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
Blk1A_C'WEALTH_DR,locatedIn,HDB_Queenstown,HDB_block,Blk1A C'WEALTH DR,1A,C'WEALTH DR,1,2010,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0
Blk1A_CANTONMENT_RD,locatedIn,HDB_Central_Area,HDB_block,Blk1A CANTONMENT RD,1A,CANTONMENT RD,50,2009,TRUE,FALSE,FALSE,FALSE,264,0,0,0,0
Blk1A_EUNOS_CRES,locatedIn,HDB_Geylang,HDB_block,Blk1A EUNOS CRES,1A,EUNOS CRES,2,1981,TRUE,TRUE,FALSE,FALSE,2,0,0,2,0
Blk1A_EVERTON_PK,locatedIn,HDB_Bukit_Merah,HDB_block,Blk1A EVERTON PK,1A,EVERTON PK,1,2000,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
Blk1A_TELOK_BLANGAH_CRES,locatedIn,HDB_Bukit_Merah,HDB_block,Blk1A TELOK BLANGAH CRES,1A,TELOK BLANGAH CRES,1,2005,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
Blk1A_TELOK_PAKU_RD,locatedIn,HDB_Pasir_Ris,HDB_block,Blk1A TELOK PAKU RD,1A,TELOK PAKU RD,5,2015,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0
