code,type,train_line,train_line_code,station_name_English,station_name_Chinese,station_name_Tamil,photo
CC1_NE6_NS24,MRT_station,North East Line,NEL,Dhoby Ghaut,多美歌,டோபி காட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC1_NE6_NS24,MRT_station,Circle Line,CCL,Dhoby Ghaut,多美歌,டோபி காட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC1_NE6_NS24,MRT_station,North South Line,NSL,Dhoby Ghaut,多美歌,டோபி காட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC10_DT26,MRT_station,Circle Line,CCL,MacPherson,麦波申,மெக்பர்சன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC10_DT26,MRT_station,Downtown Line,DTL,MacPherson,麦波申,மெக்பர்சன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC11,MRT_station,Circle Line,CCL,Tai Seng,大成,தை செங்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC12,MRT_station,Circle Line,CCL,Bartley,巴特礼,பார்ட்லி,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC13_NE12,MRT_station,North East Line,NEL,Serangoon,实龙岗,சிராங்கூன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC13_NE12,MRT_station,Circle Line,CCL,Serangoon,实龙岗,சிராங்கூன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC14,MRT_station,Circle Line,CCL,Lorong Chuan,罗弄泉,லோரோங் சுவான்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC15_NS17,MRT_station,North South Line,NSL,Bishan,碧山,பீஷான்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC15_NS17,MRT_station,Circle Line,CCL,Bishan,碧山,பீஷான்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC16,MRT_station,Circle Line,CCL,Marymount,玛丽蒙,மேரிமவுண்ட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC17,MRT_station,Circle Line,CCL,Caldecott,加利谷,கால்டிகாட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC19_DT9,MRT_station,Circle Line,CCL,Botanic Gardens • Kebun Bunga,植物园,பூ மலை,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC19_DT9,MRT_station,Downtown Line,DTL,Botanic Gardens • Kebun Bunga,植物园,பூ மலை,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC2,MRT_station,Circle Line,CCL,Bras Basah,百胜,பிராஸ் பாசா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC20,MRT_station,Circle Line,CCL,Farrer Road,花拉路,ஃபேரர் சாலை,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC21,MRT_station,Circle Line,CCL,Holland Village,荷兰村,ஹாலந்து வில்லேஜ்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC22_EW21,MRT_station,East West Line,EWL,Buona Vista,波那维斯达,புவன விஸ்தா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC22_EW21,MRT_station,Circle Line,CCL,Buona Vista,波那维斯达,புவன விஸ்தா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC23,MRT_station,Circle Line,CCL,one-north,纬壹,ஒன்-நார்த்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC24,MRT_station,Circle Line,CCL,Kent Ridge,肯特岗,கெண்ட் ரிஜ்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC25,MRT_station,Circle Line,CCL,Haw Par Villa,虎豹别墅,ஹா பர் வில்லா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC26,MRT_station,Circle Line,CCL,Pasir Panjang,巴西班让,பாசிர் பாஞ்சாங்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC27,MRT_station,Circle Line,CCL,Labrador Park,拉柏多公园,லாப்ரடார் பூங்கா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC28,MRT_station,Circle Line,CCL,Telok Blangah,直落布兰雅,தெலுக் பிளாங்கா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC29_NE1,MRT_station,North East Line,NEL,HarbourFront,港湾,துறைமுகம்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC29_NE1,MRT_station,Circle Line,CCL,HarbourFront,港湾,துறைமுகம்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC3,MRT_station,Circle Line,CCL,Esplanade,滨海中心,எஸ்பிளனேட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC4_DT15,MRT_station,Circle Line,CCL,Promenade,宝门廊,புரொமனாட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC4_DT15,MRT_station,Downtown Line,DTL,Promenade,宝门廊,புரொமனாட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC5,MRT_station,Circle Line,CCL,Nicoll Highway,尼诰大道,நிக்கல் நெடுஞ்சாலை,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC6,MRT_station,Circle Line,CCL,Stadium,体育场,ஸ்டேடியம்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC7,MRT_station,Circle Line,CCL,Mountbatten,蒙巴登,மவுண்ட்பேட்டன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC8,MRT_station,Circle Line,CCL,Dakota,达科达,டகோட்டா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC9_EW8,MRT_station,East West Line,EWL,Paya Lebar,巴耶利峇,பாய லேபார்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CC9_EW8,MRT_station,Circle Line,CCL,Paya Lebar,巴耶利峇,பாய லேபார்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CE1_DT16,MRT_station,Circle Line Extension,CCLe,Bayfront,海湾舫,பேஃபிரண்ட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CE1_DT16,MRT_station,Downtown Line,DTL,Bayfront,海湾舫,பேஃபிரண்ட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CE2_NS27,MRT_station,North South Line,NSL,Marina Bay,滨海湾,மரீனா பே,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CE2_NS27,MRT_station,Circle Line Extension,CCLe,Marina Bay,滨海湾,மரீனா பே,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CG1_DT35,MRT_station,Changi Airport Branch Line,CGL,Expo,博览,எக்ஸ்போ,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CG1_DT35,MRT_station,Downtown Line,DTL,Expo,博览,எக்ஸ்போ,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
CG2,MRT_station,Changi Airport Branch Line,CGL,Changi Airport,樟宜机场,சாங்கி விமானநிலையம்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT1,MRT_station,Downtown Line,DTL,Bukit Panjang,武吉班让,புக்கிட் பாஞ்சாங்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT10,MRT_station,Downtown Line,DTL,Stevens,史蒂芬,ஸ்டீவன்ஸ்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT11_NS21,MRT_station,North South Line,NSL,Newton,纽顿,நியூட்டன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT11_NS21,MRT_station,Downtown Line,DTL,Newton,纽顿,நியூட்டன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT12_NE7,MRT_station,North East Line,NEL,Little India,小印度,லிட்டில் இந்தியா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT12_NE7,MRT_station,Downtown Line,DTL,Little India,小印度,லிட்டில் இந்தியா,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT13,MRT_station,Downtown Line,DTL,Rochor,梧槽,ரோச்சோர்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT14_EW12,MRT_station,East West Line,EWL,Bugis,武吉士,பூகிஸ்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT14_EW12,MRT_station,Downtown Line,DTL,Bugis,武吉士,பூகிஸ்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT17,MRT_station,Downtown Line,DTL,Downtown,市中心,டௌன்டவுன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT18,MRT_station,Downtown Line,DTL,Telok Ayer,直落亚逸,தெலுக் ஆயர்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT19_NE4,MRT_station,North East Line,NEL,Chinatown,牛车水,சைனாடவுன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT19_NE4,MRT_station,Downtown Line,DTL,Chinatown,牛车水,சைனாடவுன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT2,MRT_station,Downtown Line,DTL,Cashew,凯秀,கேஷ்யூ,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT20,MRT_station,Downtown Line,DTL,Fort Canning,福康宁,ஃபோர்ட் கெனிங்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT21,MRT_station,Downtown Line,DTL,Bencoolen,明古连,பென்கூலன்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT22,MRT_station,Downtown Line,DTL,Jalan Besar,惹兰勿刹,ஜாலான் புசார்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT23,MRT_station,Downtown Line,DTL,Bendemeer,明地迷亚,பெண்டிமியர்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT24,MRT_station,Downtown Line,DTL,Geylang Bahru,芽笼峇鲁,கேலாங் பாரு,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT25,MRT_station,Downtown Line,DTL,Mattar,玛达,மாத்தார்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT27,MRT_station,Downtown Line,DTL,Ubi,乌美,உபி,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT28,MRT_station,Downtown Line,DTL,Kaki Bukit,加基武吉,காக்கி புக்கிட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT29,MRT_station,Downtown Line,DTL,Bedok North,勿洛北,பிடோக் நார்த்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT3,MRT_station,Downtown Line,DTL,Hillview,山景,ஹில்வியூ,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT30,MRT_station,Downtown Line,DTL,Bedok Reservoir,勿洛蓄水池,பிடோக் ரெசவோர்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT31,MRT_station,Downtown Line,DTL,Tampines West,淡滨尼西,தெம்பினிஸ் வெஸ்ட்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT32_EW2,MRT_station,East West Line,EWL,Tampines,淡滨尼,தெம்பினிஸ்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
DT32_EW2,MRT_station,Downtown Line,DTL,Tampines,淡滨尼,தெம்பினிஸ்,https://personal.ntu.edu.sg/assgkhoo/MRT3.jpg
